arp,llc,ip,icmp,icmpv6,eapol,tcp,udp,http,https,dhcp,bootp,ssdp,dns,mdns,ntp,padding,router_alert,size,raw_data,destination_ip_counter,source,destination
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,351,0,1,1,1
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,342,0,2,1,1
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,363,0,2,1,1
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,348,0,2,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,2,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,74,0,2,3,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,106,0,2,1,3
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,90,0,3,2,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,3,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,90,0,3,1,2
