arp,llc,ip,icmp,icmpv6,eapol,tcp,udp,http,https,dhcp,bootp,ssdp,dns,mdns,ntp,padding,router_alert,size,raw_data,destination_ip_counter,source,destination
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,179,0,1,3,2
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,261,0,2,2,2
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,590,0,3,1,1
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,590,0,3,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,174,0,3,3,2
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,175,0,3,3,2
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,143,0,3,3,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,4,0,0
