arp,llc,ip,icmp,icmpv6,eapol,tcp,udp,http,https,dhcp,bootp,ssdp,dns,mdns,ntp,padding,router_alert,size,raw_data,destination_ip_counter,source,destination
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,316,0,1,1,1
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,292,0,1,1,1
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,316,0,1,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,2,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,641,0,3,2,2
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,214,0,3,2,2
