arp,llc,ip,icmp,icmpv6,eapol,tcp,udp,http,https,dhcp,bootp,ssdp,dns,mdns,ntp,padding,router_alert,size,raw_data,destination_ip_counter,source,destination
0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,342,0,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,2,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,77,0,3,2,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,120,0,3,1,2
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,90,0,4,2,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,90,0,4,1,2
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,4,0,0
