arp,llc,ip,icmp,icmpv6,eapol,tcp,udp,http,https,dhcp,bootp,ssdp,dns,mdns,ntp,padding,router_alert,size,raw_data,destination_ip_counter,source,destination
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,2,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,2,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,2,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,0,0
