arp,llc,ip,icmp,icmpv6,eapol,tcp,udp,http,https,dhcp,bootp,ssdp,dns,mdns,ntp,padding,router_alert,size,raw_data,destination_ip_counter,source,destination
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,2,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,0,2,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,2,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,557,0,2,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,2,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,203,0,2,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,2,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,117,0,2,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,0,2,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,3,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,3,0,0
